,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
95,Believer,Imagine Dragons,1131623,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
96,Bubalu,Becky G,1129299,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
97,Love Someone,Lukas Graham,1114865,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
98,Don't Stop Me Now - Remastered,Queen,1112813,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
99,Body (feat. brando),Loud Luxury,1093800,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
100,Fuck Love (feat. Trippie Redd),XXXTENTACION,1093034,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
101,Holly Jolly Christmas,Michael Bublé,1072448,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
102,Solo (feat. Demi Lovato),Clean Bandit,1072255,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
103,White Christmas,Bing Crosby,1071143,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
104,Driving Home For Christmas,Chris Rea,1070505,https://open.spotify.com/track/3Z3QhZAZpqwZa1phsbQ3JZ
105,2002,Anne-Marie,1054021,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
106,Saturday Nights,Khalid,1053923,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
107,Havana,Camila Cabello,1044841,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
108,Armed And Dangerous,Juice WRLD,1043523,https://open.spotify.com/track/6SAKXCj5jyF6IgPCPbZ5ra
109,Perfect,Ed Sheeran,1038632,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
110,Nice For What,Drake,1027563,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
111,Rise,Jonas Blue,1025342,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
112,Reggaeton,J Balvin,1016364,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi
113,MALA (feat. Anuel Aa),6ix9ine,1009308,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
114,Have Yourself A Merry Little Christmas,Sam Smith,1007918,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
115,Beautiful (feat. Camila Cabello),Bazzi,1007314,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
116,The Middle,Zedd,1000379,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
117,Somebody To Love - Remastered 2011,Queen,998549,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf
118,FRIENDS,Marshmello,995596,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
119,New Rules,Dua Lipa,991728,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
120,Amigos Con Derechos,Reik,990024,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
121,WAKA (feat. A Boogie Wit da Hoodie),6ix9ine,985666,https://open.spotify.com/track/6o79O9qBP3OAkWOXajAQIS
122,Under Pressure - Remastered,Queen,985317,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
123,Desconocidos,Mau y Ricky,985175,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
124,I Fall Apart,Post Malone,977336,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
125,Culpables,Karol G,969615,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
126,Thunder,Imagine Dragons,962205,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
127,Shotgun,George Ezra,961569,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
128,Feliz Navidad,José Feliciano,961088,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
129,SOLO,JENNIE,960695,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
130,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,956845,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
131,A Holly Jolly Christmas - Single Version,Burl Ives,954222,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe
132,The Christmas Song (Merry Christmas To You),Nat King Cole,940456,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
133,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,940418,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
134,bellyache,Billie Eilish,939268,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
135,idontwannabeyouanymore,Billie Eilish,937211,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
136,No Stylist,French Montana,935879,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
137,Roses (with Juice WRLD feat. Brendon Urie),benny blanco,933918,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
138,Mala Mía,Maluma,926483,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
139,Money,Cardi B,917485,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
140,Ya No Tiene Novio,Sebastian Yatra,915022,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
141,Lucky You (feat. Joyner Lucas),Eminem,911646,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
142,Everybody Dies In Their Nightmares,XXXTENTACION,908526,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
143,Fairytale of New York (feat. Kirsty MacColl),The Pogues,891756,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
144,Underneath the Tree,Kelly Clarkson,889334,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
145,Look Alive (feat. Drake),BlocBoy JB,873303,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
146,XO TOUR Llif3,Lil Uzi Vert,868867,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
147,Electricity (with Dua Lipa),Silk City,864790,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
148,Sleigh Ride,The Ronettes,863998,https://open.spotify.com/track/4rERoP56GEEjKmshbphPBK
149,Say My Name,David Guetta,862579,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
150,No Es Justo,J Balvin,862576,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
151,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,849243,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
152,10 Freaky Girls (with 21 Savage),Metro Boomin,844059,https://open.spotify.com/track/0AluA5RNsa4Cx6XRhf2hWZ
153,Too Good At Goodbyes,Sam Smith,843824,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
154,I Like Me Better,Lauv,837570,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
155,All The Stars (with SZA),Kendrick Lamar,837054,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
156,Mine,Bazzi,835248,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
157,Asesina - Remix,Brytiago,831664,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX
158,Sin Pijama,Becky G,829902,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
